Authors_l,Authors_r,Title_l,Title_r,Keywords_l,Keywords_r,Flag,Pair of Article,Authors_l_raw,Authors_r_raw,Title_l_raw,Title_r_raw,Keywords_l_raw,Keywords_r_raw,Sim_Prefix,Sim_Authors,Sim_Title,Sim_Keywords,Similarity
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['akbarian s', 'nelder mp', 'russell cb', 'cawston t', 'moreno l', 'patel sn', 'allen vg', 'dolatabadi e']","['computer', 'vision', 'approach', 'combat', 'lyme', 'disease']","['computer', 'vision', 'approach', 'identifying', 'ticks', 'related', 'lyme', 'disease']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['computer vision', 'ixodes scapularis', 'lyme disease', 'convolution neural network', 'infectious disease', 'knowledge transfer', 'public health', 'surveillance', 'vector-borne disease']",1,2,"Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","Akbarian S,Nelder MP,Russell CB,Cawston T,Moreno L,Patel SN,Allen VG,Dolatabadi E",A Computer Vision Approach to Combat Lyme Disease,A Computer Vision Approach to Identifying Ticks Related to Lyme Disease,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","Computer vision,Ixodes scapularis,Lyme disease,convolution neural network,infectious disease,knowledge transfer,public health,surveillance,vector-borne disease",0.818182,0.4,0.555556,0.4,0.451852
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['khanal sr', 'paulino d', 'sampaio j', 'barroso j', 'reis a', 'filipe v']","['review', 'computer', 'vision', 'systems', 'monitoring', 'poultry', ':', 'welfare', 'perspective']","['review', 'computer', 'vision', 'technology', 'physical', 'exercise', 'monitoring']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['computer vision', 'contactless technology', 'deep learning', 'exercise monitoring', 'physical activity', 'vital sign monitoring']",0,7,"Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M","Khanal SR,Paulino D,Sampaio J,Barroso J,Reis A,Filipe V",A review on computer vision systems in monitoring of poultry: A welfare perspective,A Review on Computer Vision Technology for Physical Exercise Monitoring,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","computer vision,contactless technology,deep learning,exercise monitoring,physical activity,vital sign monitoring",0.818182,0,0.333333,0.2,0.177778
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['review', 'computer', 'vision', 'systems', 'monitoring', 'poultry', ':', 'welfare', 'perspective']","['review', 'agricultural', 'advancement', 'based', 'computer', 'vision', 'machine', 'learning']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']",0,11,"Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A review on computer vision systems in monitoring of poultry: A welfare perspective,A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","Agriculture,Computer vision,Machine learning,Plant phenotyping",0.73913,0,0.214286,0.25,0.154762
['tombe r'],"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['computer', 'vision', 'smart', 'farming', 'sustainable', 'agriculture']","['computer', 'vision', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'integrated', 'anemia', 'sickle', 'cell', 'disease', 'screening']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']",0,21,Tombe R,"An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA",Computer Vision for Smart Farming and Sustainable Agriculture,Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","anemia,artificial neural network,computer vision,deep learning",0.761905,0,0.117647,0.25,0.122549
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['vij r', 'arora s']","['computer', 'vision', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'integrated', 'anemia', 'sickle', 'cell', 'disease', 'screening']","['computer', 'vision', 'deep', 'learning', 'techniques', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging', ':', 'survey']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",1,23,"An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA","Vij R,Arora S",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"anemia,artificial neural network,computer vision,deep learning","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0.818182,0,0.190476,0.25,0.146825
['tombe r'],"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['computer', 'vision', 'smart', 'farming', 'sustainable', 'agriculture']","['computer', 'vision', 'radiology', 'covid-19', 'detection']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['covid-19', 'computer vision', 'radiology']",0,24,Tombe R,"Punia R,Kumar L,Mujahid M,Rohilla R",Computer Vision for Smart Farming and Sustainable Agriculture,Computer vision and radiology for COVID-19 detection,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","COVID-19,Computer Vision,Radiology",0.695652,0,0.222222,0.125,0.115741
"['luo c', 'pearson p', 'xu g', 'rich sm']","['vij r', 'arora s']","['computer', 'vision-based', 'approach', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['computer', 'vision', 'deep', 'learning', 'techniques', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging', ':', 'survey']","['computer vision', 'medical entomology', 'ticks']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",0,34,"Luo C,Pearson P,Xu G,Rich SM","Vij R,Arora S",A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"Computer vision,Medical entomology,Ticks","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0.72,0,0.235294,0.125,0.120098
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['computer', 'vision', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'integrated', 'anemia', 'sickle', 'cell', 'disease', 'screening']","['computer', 'vision', 'based', 'food', 'recognition', 'approach', 'controlling', 'inflammation', 'enhance', 'quality', 'life', 'psoriasis', 'patients']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",0,40,"An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA","Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,"anemia,artificial neural network,computer vision,deep learning","Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning",0.782609,0,0.083333,0.285714,0.123016
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['computer', 'vision', 'radiology', 'covid-19', 'detection']","['computer', 'vision', 'framework', 'wheat', 'disease', 'identification', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['covid-19', 'computer vision', 'radiology']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']",0,41,"Punia R,Kumar L,Mujahid M,Rohilla R","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A",Computer vision and radiology for COVID-19 detection,Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,"COVID-19,Computer Vision,Radiology","agriculture,computer vision,deep learning model,wheat disease",0.653846,0,0.142857,0.166667,0.103175
"['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['uryasheva a', 'kalashnikova a', 'shadrin d', 'evteeva k', 'moskovtsev e', 'rodichenko n']","['computer', 'vision', 'technology', 'agricultural', 'automation', 'â€”a', 'review']","['computer', 'vision-based', 'platform', 'apple', 'leaves', 'segmentation', 'field', 'conditions', 'support', 'digital', 'phenotyping']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']","['computer vision', 'image processing', 'plant disease detection', 'precision agriculture', 'remote sensing']",1,43,"Tian H,Wang T,Liu Y,Qiao X,Li Y","Uryasheva A,Kalashnikova A,Shadrin D,Evteeva K,Moskovtsev E,Rodichenko N",Computer vision technology in agricultural automation â€”A review,Computer vision-based platform for apple leaves segmentation in field conditions to support digital phenotyping,"Agricultural automation,Computer vision,Image processing,Intelligent detection","Computer vision,Image processing,Plant disease detection,Precision agriculture,Remote sensing",0.75,0,0.058824,0.285714,0.114846
