Authors_l,Authors_r,Title_l,Title_r,Keywords_l,Keywords_r,Authors_raw_l,Authors_raw_r,Title_raw_l,Title_raw_r,Keywords_raw_l,Keywords_raw_r,Flag,Pair of Article,Sim_Authors,Sim_Title,Sim_Keywords,Similarity
"['abudawood ga', 'ashi hm', 'almarzouki nk']","['sánchez-valerio mr', 'mohamed-noriega k', 'zamora-ginez i', 'duarte bg', 'vallejo-ruiz v']","['computer', 'vision', 'syndrome', 'among', 'undergraduate', 'medical', 'students', 'in', 'king', 'abdulaziz', 'university,', 'jeddah,', 'saudi', 'arabia']","['dry', 'eye', 'disease', 'association', 'with', 'computer', 'exposure', 'time', 'among', 'subjects', 'with', 'computer', 'vision', 'syndrome']","['computer vision syndrome', 'dry eye disease']","['computer vision syndrome', 'dry eye disease']","Abudawood GA,Ashi HM,Almarzouki NK","Sánchez-Valerio MR,Mohamed-Noriega K,Zamora-Ginez I,Duarte BG,Vallejo-Ruiz V","Computer Vision Syndrome among Undergraduate Medical Students in King Abdulaziz University, Jeddah, Saudi Arabia",Dry eye disease association with computer exposure time among subjects with computer vision syndrome,"computer vision syndrome,dry eye disease","Computer vision syndrome,Dry eye disease",1,1,0.0,0.17391304347826086,1.0,0.5695652173913044
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['akbarian s', 'nelder mp', 'russell cb', 'cawston t', 'moreno l', 'patel sn', 'allen vg', 'dolatabadi e']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['a', 'computer', 'vision', 'approach', 'to', 'identifying', 'ticks', 'related', 'to', 'lyme', 'disease']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['computer vision', 'ixodes scapularis', 'lyme disease', 'convolution neural network', 'infectious disease', 'knowledge transfer', 'public health', 'surveillance', 'vector-borne disease']","Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","Akbarian S,Nelder MP,Russell CB,Cawston T,Moreno L,Patel SN,Allen VG,Dolatabadi E",A Computer Vision Approach to Combat Lyme Disease,A Computer Vision Approach to Identifying Ticks Related to Lyme Disease,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","Computer vision,Ixodes scapularis,Lyme disease,convolution neural network,infectious disease,knowledge transfer,public health,surveillance,vector-borne disease",1,2,0.4,0.6363636363636364,0.4,0.49454545454545457
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['vinitha v', 'velantina v']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['computer vision', 'deep learning', 'opencv']","An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA","Vinitha V,Velantina V",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,Covid-19 Facemask Detection With Deep Learning and Computer Vision,"anemia,artificial neural network,computer vision,deep learning","computer vision,deep learning,opencv",0,3,0.0,0.2631578947368421,0.4,0.30526315789473685
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['vinitha v', 'velantina v']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['covid-19', 'computer vision', 'radiology']","['computer vision', 'deep learning', 'opencv']","Punia R,Kumar L,Mujahid M,Rohilla R","Vinitha V,Velantina V",Computer vision and radiology for COVID-19 detection,Covid-19 Facemask Detection With Deep Learning and Computer Vision,"COVID-19,Computer Vision,Radiology","computer vision,deep learning,opencv",0,4,0.0,0.45454545454545453,0.2,0.28181818181818186
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['khan aa', 'laghari aa', 'awan sa']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['machine', 'learning', 'in', 'computer', 'vision:', 'a', 'review']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['computer vision', 'feature extraction', 'machine learning', 'medical imaging', 'neural network', 'pattern recognition', 'supervised and unsupervised learning']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S","Khan AA,Laghari AA,Awan SA",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,Machine Learning in Computer Vision: A Review,"Agriculture,Computer vision,Machine learning,Plant phenotyping","Computer Vision,Feature Extraction,Machine Learning,Medical Imaging,Neural Network,Pattern Recognition,Supervised and Unsupervised Learning",0,5,0.0,0.38461538461538464,0.2222222222222222,0.26495726495726496
"['vinitha v', 'velantina v']","['vij r', 'arora s']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['computer vision', 'deep learning', 'opencv']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']","Vinitha V,Velantina V","Vij R,Arora S",Covid-19 Facemask Detection With Deep Learning and Computer Vision,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"computer vision,deep learning,opencv","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0,6,0.0,0.2777777777777778,0.2857142857142857,0.25396825396825395
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['khanal sr', 'paulino d', 'sampaio j', 'barroso j', 'reis a', 'filipe v']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['a', 'review', 'on', 'computer', 'vision', 'technology', 'for', 'physical', 'exercise', 'monitoring']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['computer vision', 'contactless technology', 'deep learning', 'exercise monitoring', 'physical activity', 'vital sign monitoring']","Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M","Khanal SR,Paulino D,Sampaio J,Barroso J,Reis A,Filipe V",A review on computer vision systems in monitoring of poultry: A welfare perspective,A Review on Computer Vision Technology for Physical Exercise Monitoring,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","computer vision,contactless technology,deep learning,exercise monitoring,physical activity,vital sign monitoring",0,7,0.0,0.375,0.2,0.25
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['bhargava a', 'bansal a']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S","Bhargava A,Bansal A",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"Agriculture,Computer vision,Machine learning,Plant phenotyping","COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning",0,8,0.0,0.2631578947368421,0.2857142857142857,0.24812030075187969
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['bhargava a', 'bansal a']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['covid-19', 'computer vision', 'radiology']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Punia R,Kumar L,Mujahid M,Rohilla R","Bhargava A,Bansal A",Computer vision and radiology for COVID-19 detection,Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"COVID-19,Computer Vision,Radiology","COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning",1,9,0.0,0.17647058823529413,0.3333333333333333,0.2372549019607843
"['vinitha v', 'velantina v']","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']","Vinitha V,Velantina V","Su WH,Zhang J,Yang C,Page R,Szinyei T,Hirsch CD,Steffenson BJ",Covid-19 Facemask Detection With Deep Learning and Computer Vision,Automatic evaluation of wheat resistance to fusarium head blight using dual mask-rcnn deep learning frameworks in computer vision,"computer vision,deep learning,opencv","Computer vision,Deep learning,Fusarium head blight,Target recognition,Wheat spike",0,10,0.0,0.17391304347826086,0.3333333333333333,0.23623188405797102
