Authors_l,Title_l,Keywords_l,Authors_raw_l,Title_raw_l,Keywords_raw_l,Authors_r,Title_r,Keywords_r,Authors_raw_r,Title_raw_r,Keywords_raw_r
"['abudawood ga', 'ashi hm', 'almarzouki nk']","['computer', 'vision', 'syndrome', 'among', 'undergraduate', 'medical', 'students', 'in', 'king', 'abdulaziz', 'university,', 'jeddah,', 'saudi', 'arabia']","['computer vision syndrome', 'dry eye disease']","Abudawood GA,Ashi HM,Almarzouki NK","Computer Vision Syndrome among Undergraduate Medical Students in King Abdulaziz University, Jeddah, Saudi Arabia","computer vision syndrome,dry eye disease","['sánchez-valerio mr', 'mohamed-noriega k', 'zamora-ginez i', 'duarte bg', 'vallejo-ruiz v']","['dry', 'eye', 'disease', 'association', 'with', 'computer', 'exposure', 'time', 'among', 'subjects', 'with', 'computer', 'vision', 'syndrome']","['computer vision syndrome', 'dry eye disease']","Sánchez-Valerio MR,Mohamed-Noriega K,Zamora-Ginez I,Duarte BG,Vallejo-Ruiz V",Dry eye disease association with computer exposure time among subjects with computer vision syndrome,"Computer vision syndrome,Dry eye disease"
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E",A Computer Vision Approach to Combat Lyme Disease,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","['akbarian s', 'nelder mp', 'russell cb', 'cawston t', 'moreno l', 'patel sn', 'allen vg', 'dolatabadi e']","['a', 'computer', 'vision', 'approach', 'to', 'identifying', 'ticks', 'related', 'to', 'lyme', 'disease']","['computer vision', 'ixodes scapularis', 'lyme disease', 'convolution neural network', 'infectious disease', 'knowledge transfer', 'public health', 'surveillance', 'vector-borne disease']","Akbarian S,Nelder MP,Russell CB,Cawston T,Moreno L,Patel SN,Allen VG,Dolatabadi E",A Computer Vision Approach to Identifying Ticks Related to Lyme Disease,"Computer vision,Ixodes scapularis,Lyme disease,convolution neural network,infectious disease,knowledge transfer,public health,surveillance,vector-borne disease"
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,"anemia,artificial neural network,computer vision,deep learning","['vinitha v', 'velantina v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","Vinitha V,Velantina V",Covid-19 Facemask Detection With Deep Learning and Computer Vision,"computer vision,deep learning,opencv"
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['covid-19', 'computer vision', 'radiology']","Punia R,Kumar L,Mujahid M,Rohilla R",Computer vision and radiology for COVID-19 detection,"COVID-19,Computer Vision,Radiology","['vinitha v', 'velantina v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","Vinitha V,Velantina V",Covid-19 Facemask Detection With Deep Learning and Computer Vision,"computer vision,deep learning,opencv"
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Agriculture,Computer vision,Machine learning,Plant phenotyping","['khan aa', 'laghari aa', 'awan sa']","['machine', 'learning', 'in', 'computer', 'vision:', 'a', 'review']","['computer vision', 'feature extraction', 'machine learning', 'medical imaging', 'neural network', 'pattern recognition', 'supervised and unsupervised learning']","Khan AA,Laghari AA,Awan SA",Machine Learning in Computer Vision: A Review,"Computer Vision,Feature Extraction,Machine Learning,Medical Imaging,Neural Network,Pattern Recognition,Supervised and Unsupervised Learning"
"['vinitha v', 'velantina v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","Vinitha V,Velantina V",Covid-19 Facemask Detection With Deep Learning and Computer Vision,"computer vision,deep learning,opencv","['vij r', 'arora s']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']","Vij R,Arora S",Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages"
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M",A review on computer vision systems in monitoring of poultry: A welfare perspective,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","['khanal sr', 'paulino d', 'sampaio j', 'barroso j', 'reis a', 'filipe v']","['a', 'review', 'on', 'computer', 'vision', 'technology', 'for', 'physical', 'exercise', 'monitoring']","['computer vision', 'contactless technology', 'deep learning', 'exercise monitoring', 'physical activity', 'vital sign monitoring']","Khanal SR,Paulino D,Sampaio J,Barroso J,Reis A,Filipe V",A Review on Computer Vision Technology for Physical Exercise Monitoring,"computer vision,contactless technology,deep learning,exercise monitoring,physical activity,vital sign monitoring"
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Agriculture,Computer vision,Machine learning,Plant phenotyping","['bhargava a', 'bansal a']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Bhargava A,Bansal A",Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning"
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['covid-19', 'computer vision', 'radiology']","Punia R,Kumar L,Mujahid M,Rohilla R",Computer vision and radiology for COVID-19 detection,"COVID-19,Computer Vision,Radiology","['bhargava a', 'bansal a']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Bhargava A,Bansal A",Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning"
"['vinitha v', 'velantina v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","Vinitha V,Velantina V",Covid-19 Facemask Detection With Deep Learning and Computer Vision,"computer vision,deep learning,opencv","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']","Su WH,Zhang J,Yang C,Page R,Szinyei T,Hirsch CD,Steffenson BJ",Automatic evaluation of wheat resistance to fusarium head blight using dual mask-rcnn deep learning frameworks in computer vision,"Computer vision,Deep learning,Fusarium head blight,Target recognition,Wheat spike"
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M",A review on computer vision systems in monitoring of poultry: A welfare perspective,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Agriculture,Computer vision,Machine learning,Plant phenotyping"
"['al tawil l', 'aldokhayel s', 'zeitouni l', 'qadoumi t', 'hussein s', 'ahamed ss']","['prevalence', 'of', 'self-reported', 'computer', 'vision', 'syndrome', 'symptoms', 'and', 'its', 'associated', 'factors', 'among', 'university', 'students']","['computer vision syndrome', 'saudi arabia', 'electronic devices', 'university students', 'vision problems']","Al Tawil L,Aldokhayel S,Zeitouni L,Qadoumi T,Hussein S,Ahamed SS",Prevalence of self-reported computer vision syndrome symptoms and its associated factors among university students,"Computer vision syndrome,Saudi Arabia,electronic devices,university students,vision problems","['alhasan as', 'aalam wa']","['magnitude', 'and', 'determinants', 'of', 'computer', 'vision', 'syndrome', 'among', 'radiologists', 'in', 'saudi', 'arabia:', 'a', 'national', 'survey']","['computer vision syndrome', 'eyestrain', 'occupational hazards', 'radiologists', 'saudi arabia']","Alhasan AS,Aalam WA",Magnitude and Determinants of Computer Vision Syndrome Among Radiologists in Saudi Arabia: A National Survey,"Computer Vision Syndrome,Eyestrain,Occupational hazards,Radiologists,Saudi Arabia"
