left_authors,right_authors,left_title,right_title,left_keywords,right_keywords,label,id
"['abudawood ga', 'ashi hm', 'almarzouki nk']","['sánchez-valerio mr', 'mohamed-noriega k', 'zamora-ginez i', 'duarte bg', 'vallejo-ruiz v']","['computer', 'vision', 'syndrome', 'among', 'undergraduate', 'medical', 'students', 'in', 'king', 'abdulaziz', 'university,', 'jeddah,', 'saudi', 'arabia']","['dry', 'eye', 'disease', 'association', 'with', 'computer', 'exposure', 'time', 'among', 'subjects', 'with', 'computer', 'vision', 'syndrome']","['computer vision syndrome', 'dry eye disease']","['computer vision syndrome', 'dry eye disease']",1,1
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['akbarian s', 'nelder mp', 'russell cb', 'cawston t', 'moreno l', 'patel sn', 'allen vg', 'dolatabadi e']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['a', 'computer', 'vision', 'approach', 'to', 'identifying', 'ticks', 'related', 'to', 'lyme', 'disease']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['computer vision', 'ixodes scapularis', 'lyme disease', 'convolution neural network', 'infectious disease', 'knowledge transfer', 'public health', 'surveillance', 'vector-borne disease']",1,2
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['vinitha v', 'velantina v']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['computer vision', 'deep learning', 'opencv']",0,3
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['vinitha v', 'velantina v']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['covid-19', 'computer vision', 'radiology']","['computer vision', 'deep learning', 'opencv']",0,4
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['khan aa', 'laghari aa', 'awan sa']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['machine', 'learning', 'in', 'computer', 'vision:', 'a', 'review']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['computer vision', 'feature extraction', 'machine learning', 'medical imaging', 'neural network', 'pattern recognition', 'supervised and unsupervised learning']",0,5
"['vinitha v', 'velantina v']","['vij r', 'arora s']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['computer vision', 'deep learning', 'opencv']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",0,6
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['khanal sr', 'paulino d', 'sampaio j', 'barroso j', 'reis a', 'filipe v']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['a', 'review', 'on', 'computer', 'vision', 'technology', 'for', 'physical', 'exercise', 'monitoring']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['computer vision', 'contactless technology', 'deep learning', 'exercise monitoring', 'physical activity', 'vital sign monitoring']",0,7
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['bhargava a', 'bansal a']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']",0,8
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['bhargava a', 'bansal a']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['covid-19', 'computer vision', 'radiology']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']",1,9
"['vinitha v', 'velantina v']","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']",0,10
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']",0,11
"['al tawil l', 'aldokhayel s', 'zeitouni l', 'qadoumi t', 'hussein s', 'ahamed ss']","['alhasan as', 'aalam wa']","['prevalence', 'of', 'self-reported', 'computer', 'vision', 'syndrome', 'symptoms', 'and', 'its', 'associated', 'factors', 'among', 'university', 'students']","['magnitude', 'and', 'determinants', 'of', 'computer', 'vision', 'syndrome', 'among', 'radiologists', 'in', 'saudi', 'arabia:', 'a', 'national', 'survey']","['computer vision syndrome', 'saudi arabia', 'electronic devices', 'university students', 'vision problems']","['computer vision syndrome', 'eyestrain', 'occupational hazards', 'radiologists', 'saudi arabia']",0,12
['tombe r'],"['vinitha v', 'velantina v']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['computer vision', 'deep learning', 'opencv']",0,13
"['fernández-carrión e', 'barasona já', 'sánchez á', 'jurado c', 'cadenas-fernández e', 'sánchez-vizcaíno jm']","['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['computer', 'vision', 'applied', 'to', 'detect', 'lethargy', 'through', 'animal', 'motion', 'monitoring:', 'a', 'trial', 'on', 'african', 'swine', 'fever', 'inwild', 'boar']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']",0,14
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['computer', 'vision', 'framework', 'for', 'wheat', 'disease', 'identification', 'and', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']",1,15
