"Item type","Authors","Title","Journal","Publication year","Publisher","Date published","URLs","DOI","Abstract","Keywords","Notes"
"Journal Article","Buch N,Velastin SA,Orwell J","A review of computer vision techniques for the analysis of urban traffic","IEEE Transactions on intelligent \ldots","2011","ieeexplore.ieee.org","2011","https://ieeexplore.ieee.org/abstract/document/5734852/","","\ldots on computer vision techniques. We present here a comprehensive review of the state-of-the-art computer vision for traffic \ldots Several monitoring objectives such as congestion, traffic rule \ldots","Cameras,Computer vision,Pixel,Roads,Surveillance,Vehicles","Query date: 2023-03-13 22:02:47"
"Journal Article","Beymer D,McLauchlan P,Coifman B,...","A real-time computer vision system for measuring traffic parameters","\ldots on computer vision and \ldots","1997","ieeexplore.ieee.org","1997","https://ieeexplore.ieee.org/abstract/document/609371/","","\ldots larger set of traffic parameters \ldots vision-based traffic surveillance system [ll, 121. The core idea is to have video cameras mounted on poles or other tall structures looking down at the traffic \ldots","Automotive engineering,Computer vision,Detectors,Land vehicles,Layout,Machine vision,Real time systems,Road vehicles,Telecommunication traffic,Traffic control","Query date: 2023-03-13 22:02:47"
"Journal Article","Coifman B,Beymer D,McLauchlan P,Malik J","A real-time computer vision system for vehicle tracking and traffic surveillance","\ldots Research Part C: Emerging \ldots","1998","Elsevier","1998","https://www.sciencedirect.com/science/article/pii/S0968090X98000199","","\ldots and tracking, and the computation of traffic parameters from the tracking data. First, we present different vehicle tracking strategies from the computer vision literature. Then we focus on \ldots","Machine vision,Traffic surveillance,Vehicle tracking,Video image processing,Wide-area detection","Query date: 2023-03-13 22:02:47"
"Journal Article","Koresh M,Deva J","Computer vision based traffic sign sensing for smart transport","Journal of Innovative Image Processing (JIIP)","2019","irojournals.com","2019","https://www.irojournals.com/iroiip/V1/I1/02.pdf","","Abstract: The paper puts forward a real time traffic sign sensing (detection \ldots traffic sign compared to the convolutional network. The evaluation of the capsule network with the Indian traffic \ldots","CNN,Capsule Neural Network,Intelligent Vehicle,Recurrent Neural Network,Traffic Sign Detection and Recognition (TS-DR)","Query date: 2023-03-13 22:02:47"
"Journal Article","González Á,Garrido MÁ,Llorca DF,...","Automatic traffic signs and panels inspection system using computer vision","IEEE Transactions \ldots","2011","ieeexplore.ieee.org","2011","https://ieeexplore.ieee.org/abstract/document/5682406/","","\ldots of traffic sign detection and recognition [6]–[13], automatic traffic signs inspection using computer vision \ldots to measure the quality of the traffic signs by the traffic regulatory agencies is the \ldots","Cameras,Image color analysis,Inspection,Lighting,Roads,Transforms,Vehicles","Query date: 2023-03-13 22:02:47"
"Journal Article","Zinchenko V,Kondratenko G,Sidenko I,...","Computer vision in control and optimization of road traffic","2020 IEEE Third \ldots","2020","ieeexplore.ieee.org","2020","https://ieeexplore.ieee.org/abstract/document/9204329/","","\ldots In this paper, it was investigated the methods and approaches used in computer vision technologies and ways of their application for traffic monitoring and optimization. Special \ldots","Artificial neural networks,Biological neural networks,Computer vision,Mathematical model,Neurons,Roads,Task analysis","Query date: 2023-03-13 22:02:47"
"Book","Setchell CJ","Applications of computer vision to road-traffic monitoring","","1998","Citeseer","1998","https://citeseerx.ist.psu.edu/document?repid=rep1%5C&type=pdf%5C&doi=30feeaab883d4cc6d44e6789d35d43ac72e86a0d","","\ldots Vision based sensors have the potential to measure a far greater variety of traffic parameters compared to conventional sensors. This thesis presents two vision based traffic-monitoring \ldots","computer vision,road traffic","Query date: 2023-03-13 22:02:47"
"Journal Article","Osman T,Psyche SS,Ferdous JM,...","Intelligent traffic management system for cross section of roads using computer vision","2017 IEEE 7th Annual \ldots","2017","ieeexplore.ieee.org","2017","https://ieeexplore.ieee.org/abstract/document/7868350/","","\ldots of an intelligent and automated traffic control system which takes advantages of computer vision and image processing techniques. Along with conventional computer vision techniques, \ldots","Computer Vision,Image Analysis,Load balancing,Object Identification,Traffic Jam,Traffic Management,Vehicle Detection","Query date: 2023-03-13 22:02:47"
"Journal Article","Maurin B,Masoud O,...","Tracking all traffic: computer vision algorithms for monitoring vehicles, individuals, and crowds","IEEE robotics & \ldots","2005","ieeexplore.ieee.org","2005","https://ieeexplore.ieee.org/abstract/document/1411416/","","\ldots We propose a vision-based system that can monitor busy urban scenes. Our system can \ldots several traffic operations in urban areas and on some more general applications. One traffic \ldots","Computer vision algorithms,Crowds,Intersections,Monitoring systems,Tracking schemes,Traffic objects,Vision-based system","Query date: 2023-03-13 22:02:47"
"Journal Article","Šegvić S,Brkić K,Kalafatić Z,...","A computer vision assisted geoinformation inventory for traffic infrastructure","\ldots IEEE conference on \ldots","2010","ieeexplore.ieee.org","2010","https://ieeexplore.ieee.org/abstract/document/5624979/","","\ldots present an existing geoinformation traffic inventory devised for road safety inspection, and propose novel computer vision techniques suitable for assessing the visibility of traffic control \ldots","Cameras,Computer vision,Global Positioning System,Image color analysis,Inspection,Roads,Training","Query date: 2023-03-13 22:02:47"
