Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1292,"RA Jarvis","A perspective on range finding techniques for computer vision",1983,"IEEE Transactions on Pattern Analysis and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4767365/","https://scholar.google.com/scholar?cites=15480166568951693260&as_sdt=2005&sciodt=2007&hl=en",1,"2023-02-21 11:50:24","","","","",,,,,1292,32.30,1292,1,40,"… contributing little to our understanding of human vision, are certainly acceptable in indoor … this analysis outside the scope of legitimate computer vision. That both intensity and range …","https://ieeexplore.ieee.org/iel5/34/4767360/04767365.pdf","https://scholar.google.com/scholar?q=related:zD8-HnqZ1NYJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
402,"G Stockman, LG Shapiro","Computer vision",2001,"","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/558008","https://scholar.google.com/scholar?cites=5132762063023381316&as_sdt=2005&sciodt=2007&hl=en",2,"2023-02-21 11:50:24","BOOK","10.5555/558008","","",,,,,402,18.27,201,2,22,"From the Publisher: Computer Vision presents the necessary theory and techniques for students and practitioners who will work in fields where significant information must be extracted …","","https://scholar.google.com/scholar?q=related:RBsc2-Y7O0cJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
2264,"A Voulodimos, N Doulamis, A Doulamis…","Deep learning for computer vision: A brief review",2018,"Computational …","hindawi.com","https://www.hindawi.com/journals/CIN/2018/7068349/","https://scholar.google.com/scholar?cites=8556666434397597688&as_sdt=2005&sciodt=2007&hl=en",3,"2023-02-21 11:50:24","HTML","","","",,,,,2264,452.80,566,4,5,"… In Section 3, we describe the contribution of deep learning algorithms to key computer vision tasks, such as object detection and recognition, face recognition, action/activity recognition, …","https://www.hindawi.com/journals/CIN/2018/7068349/","https://scholar.google.com/scholar?q=related:-O_Gc8liv3YJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
956,"BG Baumgart","A polyhedron representation for computer vision",1975,"… 22, 1975, national computer conference and exposition","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/1499949.1500071","https://scholar.google.com/scholar?cites=14269358176963589676&as_sdt=2005&sciodt=2007&hl=en",4,"2023-02-21 11:50:24","","10.1145/1499949.1500071","","",,,,,956,19.92,956,1,48,"… USE OF POLYHEDRA IN COMPUTER VISION My approach to computer vision is best characterized as inverse computer graphics. In computer graphics, the world is represented in …","https://dl.acm.org/doi/pdf/10.1145/1499949.1500071","https://scholar.google.com/scholar?q=related:LPa63qjxBsYJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
6677,"DA Forsyth, J Ponce","Computer vision: a modern approach",2002,"","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/580035","https://scholar.google.com/scholar?cites=14719416778890955929&as_sdt=2005&sciodt=2007&hl=en",5,"2023-02-21 11:50:24","BOOK","10.5555/580035","","",,,,,6677,317.95,3339,2,21,"… The accessible presentation of this book gives both a general view of the entire computer vision … Appropriate for use by engineers as a comprehensive reference to the computer vision …","","https://scholar.google.com/scholar?q=related:mUy41pLfRcwJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
263,"BG Weinstein","A computer vision for animal ecology",2018,"Journal of Animal Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2656.12780","https://scholar.google.com/scholar?cites=8140765043026755812&as_sdt=2005&sciodt=2007&hl=en",6,"2023-02-21 11:50:24","","10.1111/1365-2656.12780","","",,,,,263,52.60,263,1,5,"… My aim is to describe the ongoing work in utilizing computer vision for animal … unite computer vision algorithms, and describe areas for collaboration and growth with the computer vision …","https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12780","https://scholar.google.com/scholar?q=related:5ACHzazO-XAJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
560,"Y Shirai","Three-dimensional computer vision",2012,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=uOCpCAAAQBAJ&oi=fnd&pg=PA11&dq=computer+vision&ots=Vi6YJrcpLm&sig=xE62VJ3AVGu_DnSGNdg6661ADMQ","https://scholar.google.com/scholar?cites=12306197164715834310&as_sdt=2005&sciodt=2007&hl=en",7,"2023-02-21 11:50:24","BOOK","","","",,,,,560,50.91,560,1,11,"… 3D vision is being developed for mobile robots capable of passing through … computer vision for various demands. The first four chapters are devoted to basic methods of computer vision. …","","https://scholar.google.com/scholar?q=related:xnvOyh5lyKoJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
1045,"GH Granlund, H Knutsson","Signal processing for computer vision",2013,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=FNDkBwAAQBAJ&oi=fnd&pg=PR9&dq=computer+vision&ots=_76G73_HOi&sig=ZoBwZ0nVgMhD4Puh1v1I1LIl-us","https://scholar.google.com/scholar?cites=16385736574901900267&as_sdt=2005&sciodt=2007&hl=en",8,"2023-02-21 11:50:24","BOOK","","","",,,,,1045,104.50,523,2,10,"… Interest in computer vision has increased considerably as … over the past few decades, the vision field is still in its infancy. … low-level methods for computer vision. The field has seen a …","https://www.diva-portal.org/smash/get/diva2:302469/FULLTEXT01.pdf","https://scholar.google.com/scholar?q=related:61MnepnUZeMJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
392,"B Jähne, H Haussecker, P Geissler","Handbook of computer vision and applications",1999,"","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=9e1e89a35cfeca9c0b6c39f1a7b9df2306badabc","https://scholar.google.com/scholar?cites=5362835759764769072&as_sdt=2005&sciodt=2007&hl=en",9,"2023-02-21 11:50:24","BOOK","","","",,,,,392,16.33,131,3,24,"… We also elaborate on the task of signal processing for computer vision. Pattern recognition (Section 1.2) plays a central role in computer vision because it uses the features extracted by …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=9e1e89a35cfeca9c0b6c39f1a7b9df2306badabc","https://scholar.google.com/scholar?q=related:MImKwbWebEoJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
2889,"JR Parker","Algorithms for image processing and computer vision",2010,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=BK3oXzpxC44C&oi=fnd&pg=PR1&dq=computer+vision&ots=IToK8kyDML&sig=8l_ioiarY8A0LtCnsBkePX5EIEw","https://scholar.google.com/scholar?cites=5329009845298830640&as_sdt=2005&sciodt=2007&hl=en",10,"2023-02-21 11:50:24","BOOK","","","",,,,,2889,222.23,2889,1,13,"… vision is, I think, a unique feature of this book. Again using downloadable tools, this chapter shows how to link all the computers … to do image processing and vision tasks, rather than just …","https://www.academia.edu/download/50714920/Algorithms_for_Image_Processing_and_Comp20161204-24834-ya98x9.pdf","https://scholar.google.com/scholar?q=related:MJ2YUThy9EkJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
1358,"SE Umbaugh","Computer vision and image processing: a practical approach using cviptools with cdrom",1997,"","dl.acm.org","https://dl.acm.org/doi/abs/10.5555/522605","https://scholar.google.com/scholar?cites=15223735005834326904&as_sdt=2005&sciodt=2007&hl=en",11,"2023-02-21 11:50:24","BOOK","10.5555/522605","","",,,,,1358,52.23,1358,1,26,"… and Image Processing, a basic background in mathematics and computers is necessary. … Computer Vision and Image Processing's solid introduction for anyone who uses computer …","","https://scholar.google.com/scholar?q=related:eDNvOVSSRdMJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
